name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed,height_value,height_unit,height,Inversions_clean,Gforce_clean,speed_kmh
thunderhawk (dorney park),"2,767 ft (843 m)",45 mph (72 km/h),dorney park & wildwater kingdom,operating,"march 30, 1924",wood,philadelphia toboggan coasters,48 in (122 cm),boomerang,80 ft (24 m),0.0,chain lift hill,$10 million,2 trains with 4 cars. riders are arranged 2 across in 3 rows for a total of 24 riders per train.,planet snoopy,1:18,1200 riders per hour,4,herbert paul schmeck,45°,65 ft (20 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out and back / twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1924,40.5798,-75.5355,wood,1924-03-30,45 mph,72 km/h,45.0,mph,45.0,80.0,ft,91.2,0,4.0,72.4203
cyclone (revere beach),"3,600 ft (1,100 m)",45 mph (72 km/h),revere beach,removed,1925,wood,traver engineering,48 in (122 cm),boomerang,100 ft (30 m),0.0,chain lift hill,"$125,000",2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1400 riders per hour,4,frederick church,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",1969,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1925,42.42,-70.986,wood,1925-01-01,45 mph,72 km/h,45.0,mph,45.0,100.0,ft,91.2,0,4.0,72.4203
big grizzly mountain runaway mine cars,"1,100 m (3,600 ft)",72 km/h (45 mph),hong kong disneyland,under maintenance,14 july 2012,steel – mine train – launched,vekoma,112 cm (3 ft 8 in),boomerang,70 ft (21 m),0.0,both,$10 million,6 (usually 5 for operations) trains with 4 cars. riders are arranged 2 across in 3 rows for a total of 24 riders per train.,grizzly gulch,3:14,"1,728 riders per hour",4,walt disney imagineering,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,22.3102,114.0425,steel,2012-07-14,72 km/h,45 mph,72.0,km/h,44.7,79.0,ft,91.2,0,4.0,71.937498
daidarasaurus,"2,340 m (7,680 ft)",72 km/h (45 mph),expoland,removed,1970,steel – dueling,sansei technologies,48 in (122 cm),boomerang,28 m (92 ft),0.0,two chain lift hills,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,6:33,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","december 9, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1970,34.8044,135.5359,steel,1970-01-01,72 km/h,45 mph,72.0,km/h,44.7,28.0,m,91.9,0,4.0,71.937498
white lightning (roller coaster),"2,032 ft (619 m)",44.3 mph (71.3 km/h),fun spot america,operating,"june 7, 2013",wood,great coasters international,46 in (117 cm),custom,69.7 ft (21.2 m),0.0,chain lift hill,$3.5 million,2 trains with 6 cars. riders are arranged 2 across in a single row for a total of 12 riders per train.,planet snoopy,1:15,1200 riders per hour,4,werner stengel,58°,67.2 ft (20.5 m),"may 20, 2013",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"may 20, 2013","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2013,28.4662,-81.4564,wood,2013-06-07,44.3 mph,71.3 km/h,44.3,mph,44.3,69.7,ft,91.2,0,4.0,71.293762
ultra twister (six flags),"1,421 ft (433 m)",44 mph (71 km/h),other,operating,1972,steel – pipeline,togo,48 in (122 cm),ultratwister,96.8 ft (29.5 m),3.0,chain lift hill,"$3,000,000[1]",7 cars. riders arranged 2 across in 3 rows for a total of 6 riders per car.,frontier adventures,1:40,1200 riders per hour,4,werner stengel,85°,92 ft (28 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,viper,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1990,40.2898,-76.6536,steel,1999-01-01,44 mph,71 km/h,44.0,mph,44.0,96.8,ft,91.2,3,4.0,70.81096
wave breaker: the rescue coaster,"2,600 ft (790 m)",44 mph (71 km/h),seaworld san antonio,operating,"june 16, 2017",steel – launched – motorbike,intamin,48 in (122 cm),family launch coaster,61 ft (19 m),0.0,chain lift hill,"$18,000,000",3 trains with 8 cars. riders are arranged 2 across in a single row for a total of 16 riders per train.,planet snoopy,1:30,886 riders per hour,4,seaworld parks & entertainment,90°,100 ft (30 m),"june 10, 2017",fast lane available,mine train through nature's wonderland,out and back,fastrack available,"june 10, 2017","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2017,29.4553,-98.6961,steel,2017-06-16,44 mph,71 km/h,44.0,mph,44.0,61.0,ft,91.2,0,4.0,70.81096
space mountain: mission 2,"3,281 ft (1,000 m)",44 mph (71 km/h),disneyland park (paris),operating,"may 7, 2017",steel – launched,vekoma,47.2 in (120 cm),boomerang,105 ft (32 m),3.0,electric winch launch / booster wheels (second lift),$10 million,5 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,discoveryland,2:15,2400 riders per hour,4,walt disney imagineeringwerner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2005,48.8741,2.7793,steel,2017-05-07,44 mph,71 km/h,44.0,mph,44.0,105.0,ft,91.2,3,4.0,70.81096
space mountain: de la terre à la lune,"3,281 ft (1,000 m)",44 mph (71 km/h),disneyland park (paris),operating,"may 7, 2017",steel – launched,vekoma,47.2 in (120 cm),boomerang,105 ft (32 m),3.0,electric winch launch / booster wheels (second lift),$10 million,5 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,discoveryland,2:15,2400 riders per hour,4,walt disney imagineeringwerner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1995,48.8741,2.7793,steel,2017-05-07,44 mph,71 km/h,44.0,mph,44.0,105.0,ft,91.2,3,4.0,70.81096
star wars hyperspace mountain,"3,281 ft (1,000 m)",44 mph (71 km/h),disneyland park (paris),operating,"may 7, 2017",steel – launched,vekoma,47.2 in (120 cm),boomerang,105 ft (32 m),3.0,electric winch launch / booster wheels (second lift),$10 million,5 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,discoveryland,2:15,2400 riders per hour,4,walt disney imagineeringwerner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2017,48.8741,2.7793,steel,2017-05-07,44 mph,71 km/h,44.0,mph,44.0,105.0,ft,91.2,3,4.0,70.81096
untamed (roller coaster),"1,181 ft (360 m)",44 mph (71 km/h),canobie lake park,operating,"june 11, 2011",steel – euro-fighter,gerstlauer,48 in (122 cm),gerstlauer euro-fighter 320+,72 ft (22 m),3.0,chain,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,0:51,850 riders per hour,4.5,werner stengel,97°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,custom,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2011,42.7962,-71.249,steel,2011-06-11,44 mph,71 km/h,44.0,mph,44.0,72.0,ft,91.2,3,4.5,70.81096
ultra twister (six flags),"1,421 ft (433 m)",44 mph (71 km/h),other,operating,1972,steel – pipeline,togo,48 in (122 cm),ultratwister,96.8 ft (29.5 m),3.0,chain lift hill,"$3,000,000[1]",7 cars. riders arranged 2 across in 3 rows for a total of 6 riders per car.,frontier adventures,1:40,1200 riders per hour,4,werner stengel,85°,92 ft (28 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,viper,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1986,40.2898,-76.6536,steel,1999-01-01,44 mph,71 km/h,44.0,mph,44.0,96.8,ft,91.2,3,4.0,70.81096
wicker man (roller coaster),"2,608.3 ft (795.0 m)",43.6 mph (70.2 km/h),alton towers,operating,20 march 2018,wood,great coasters international,120 cm (3 ft 11 in),boomerang,70 ft (21 m),0.0,chain lift hill,"£16,000,000",3 trains with 12 cars. riders are arranged 2 across in a single row for a total of 24 riders per train.,mutiny bay,1:50,952 riders per hour,4,skyline design llc,90°,72.2 ft (22.0 m),"april 29, 2005",fast lane available,the flume,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2018,52.9889,-1.8886,wood,2018-03-20,43.6 mph,70.2 km/h,43.6,mph,43.6,79.0,ft,91.2,0,4.0,70.167224
half pipe (roller coaster),229.7 ft (70.0 m),43.5 mph (70.0 km/h),other,operating,1972,steel – launched – shuttle,intamin,52 in (132 cm),half pipe coaster (30m),98.4 ft (30.0 m),0.0,lim,$10 million,"single train with 2 cars, each seating 8 riders",planet snoopy,2:00,1200 riders per hour,4.5,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,half pipe coaster,fastrack available,"april 29, 2005",2019,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2004,40.2898,-76.6536,steel,1999-01-01,43.5 mph,70.0 km/h,43.5,mph,43.5,98.4,ft,91.2,0,4.5,70.00628999999999
eurofighter (zoosafari fasanolandia),"395 m (1,296 ft)",70 km/h (43 mph),zoosafari fasanolandia,operating,6 august 2011,steel – euro-fighter,gerstlauer,48 in (122 cm),boomerang,23 m (75 ft),2.0,chain lift hill,"€2,187,000",a single car. riders are arranged 4 across in 2 rows for a total of 8 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,97°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2011,40.8303,17.3398,steel,2011-08-06,70 km/h,43 mph,70.0,km/h,43.5,23.0,m,75.5,2,4.0,70.00628999999999
spongebob squarepants rock bottom plunge,"1,371.4 ft (418.0 m)",43.5 mph (70.0 km/h),nickelodeon universe,operating,"march 15, 2008",steel – euro-fighter – indoor,gerstlauer,48 in (122 cm),euro-fighter (custom),74.5 ft (22.7 m),2.0,vertical chain lift,"$2,500,000",several trains with a single car. riders are arranged 4 across in 2 rows for a total of 8 riders per train.,planet snoopy,2:00,750 riders per hour,4.4,werner stengel,97°,100 ft (30 m),"april 29, 2005",fast lane available,"the mystery mine ride, spongebob squarepants 4-d, the funtastic world of hanna-barbera (ride) a.k.a yogi’s big rescue.",compact,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2008,44.8553,-93.2425,steel,2008-03-15,43.5 mph,70.0 km/h,43.5,mph,43.5,74.5,ft,91.2,2,4.4,70.00628999999999
half pipe (roller coaster),229.7 ft (70.0 m),43.5 mph (70.0 km/h),other,operating,1972,steel – launched – shuttle,intamin,52 in (132 cm),half pipe coaster (30m),98.4 ft (30.0 m),0.0,lim,$10 million,"single train with 2 cars, each seating 8 riders",planet snoopy,2:00,1200 riders per hour,4.5,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,half pipe coaster,fastrack available,"april 29, 2005",2019,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2003,40.2898,-76.6536,steel,1999-01-01,43.5 mph,70.0 km/h,43.5,mph,43.5,98.4,ft,91.2,0,4.5,70.00628999999999
g force (roller coaster),"1,263 ft (385 m)",43.5 mph (70.0 km/h),drayton manor theme park,removed,26 july 2005,other,maurer ag,53–78.74 in (135–200 cm),hbx 2000,82 ft (25 m),3.0,chain lift hill,"£2,500,000",2 trains with 2 cars. riders are arranged 2 across in 3 rows for a total of 12 riders per train.,planet snoopy,0:45,1100 riders per hour,4.3,werner stengel,360°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",october 2018,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2005,52.6128,-1.7147,other,2005-07-26,43.5 mph,70.0 km/h,43.5,mph,43.5,82.0,ft,91.2,3,4.3,70.00628999999999
mystery mine,"1,804.5 ft (550.0 m)",43.5 mph (70.0 km/h),dollywood,operating,"april 13, 2007",steel – euro-fighter,gerstlauer,48–76 in (122–193 cm),euro-fighter (custom),85.3 ft (26.0 m),2.0,two chain lift hills,$17.5 million,7 trains with a single car. riders are arranged 4 across in 2 rows for a total of 8 riders per train.,timber canyon,2:30,1000 riders per hour,4,werner stengel,95°,100 ft (30 m),"march 31, 2007",fast lane available,mine train through nature's wonderland,terrain,fastrack available,"march 31, 2007","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2007,35.7956,-83.5301,steel,2007-04-13,43.5 mph,70.0 km/h,43.5,mph,43.5,85.3,ft,91.2,2,4.0,70.00628999999999
roller coaster (suoi tien park),"1,200 m (3,900 ft)",70 km/h (43 mph),suoi tien amusement park,operating,2000,steel,vekoma,48 in (122 cm),boomerang,30 m (98 ft),0.0,drive tire,vnd 30 billions,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,đại cung lạc cảnh hồ,2:30,1600 riders per hour,2.0,werner stengel,45°,12 m (39 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2000,10.8607,106.8044,steel,2000-01-01,70 km/h,43 mph,70.0,km/h,43.5,30.0,m,98.4,0,2.0,70.00628999999999
falcon (duinrell),"361 m (1,184 ft)",70 km/h (43 mph),duinrell,operating,14 may 2009,steel – euro-fighter,gerstlauer,120 cm (3 ft 11 in),boomerang,22 m (72 ft),3.0,chain lift hill,$10 million,3 trains with a single car. riders are arranged 4 across in 2 rows for a total of 8 riders per train.,planet snoopy,0:42 s,850 riders per hour,4.5,werner stengel,97°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2009,52.1477,4.3792,steel,2009-05-14,70 km/h,43 mph,70.0,km/h,43.5,22.0,m,72.2,3,4.5,70.00628999999999
storm coaster,"470 m (1,540 ft)",70 km/h (43 mph),sea world (australia),operating,6 december 2013,steel,mack rides,110 cm (3 ft 7 in),water coaster,28 m (92 ft),0.0,chain lift hill,au$20 million,6 trains with a single car. riders are arranged 2 across in 4 rows for a total of 8 riders per train.,planet snoopy,2 minutes[1],1200 riders per hour,3 gs[2],werner stengel,90°,100 ft (30 m),2 december 2013,fast lane available,bermuda triangle,water coaster,fastrack available,2 december 2013,"september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2013,-27.9563,153.4258,steel,2013-12-06,70 km/h,43 mph,70.0,km/h,43.5,28.0,m,91.9,0,3.0,70.00628999999999
shaman (roller coaster),"2,296.7 ft (700.0 m)",43.5 mph (70.0 km/h),gardaland,operating,1985,steel,vekoma,120–205 cm (3 ft 11 in–6 ft 9 in),double loop with corkscrew,98.5 ft (30.0 m),4.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,energy,2 min,1000 riders per hour,4,vekoma,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1985,45.4567,10.7072,steel,1985-01-01,43.5 mph,70.0 km/h,43.5,mph,43.5,98.5,ft,91.2,4,4.0,70.00628999999999
cobra (tivoli friheden),"1,312 ft (400 m)",43.5 mph (70.0 km/h),tivoli friheden,operating,"june 28, 2008",steel – inverted,sartori rides,48 in (122 cm),compact inverted coaster,82 ft (25 m),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,720 riders per hour,4.5,ride tek,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2008,56.1358,10.1979,steel,2008-06-28,43.5 mph,70.0 km/h,43.5,mph,43.5,82.0,ft,91.2,3,4.5,70.00628999999999
rage (roller coaster),"1,184 ft (361 m)",43.5 mph (70.0 km/h),adventure island,operating,10 february 2007,steel – euro-fighter,gerstlauer,48 in (122 cm),euro-fighter model 320+,72 ft (22 m),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,0:50,1200 riders per hour,4.5,ingenieur büro stengel gmbh,97°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2007,51.5325,0.7167,steel,2007-02-10,43.5 mph,70.0 km/h,43.5,mph,43.5,72.0,ft,91.2,3,4.5,70.00628999999999
roller coaster (dam sen park),"500 m (1,600 ft)",70 km/h (43 mph),dam sen cultural park,operating,1998,steel,hebei zhongye metallurgical equipment,54 in (137 cm),boomerang,24 m (79 ft),3.0,chain lift,vnd 20 billions,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,b area,1:30,960 riders per hour,3.8,werner stengel,50°,23 m (75 ft),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1998,10.7605,106.6368,steel,1998-01-01,70 km/h,43 mph,70.0,km/h,43.5,24.0,m,78.7,3,3.8,70.00628999999999
sea viper (roller coaster),"600 m (2,000 ft)",70 km/h (43 mph),sea world,removed,17 september 1982,steel,arrow dynamics,130 cm (4 ft 3 in),loop & corkscrew,28 m (92 ft),3.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:35 minutes,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005",17 july 2014,1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1982,-27.9569,153.4265,steel,1982-09-17,70 km/h,43 mph,70.0,km/h,43.5,28.0,m,91.9,3,4.0,70.00628999999999
cannonball run (roller coaster),"1,700 ft (520 m)",43 mph (69 km/h),waterville usa,removed,1995,wood,custom coasters international,42 in (107 cm),boomerang,65 ft (20 m),0.0,chain lift hill,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,out & back,fastrack available,"april 29, 2005",2018[1],1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1995,30.2585,-87.6859,wood,1995-01-01,43 mph,69 km/h,43.0,mph,43.0,65.0,ft,91.2,0,4.0,69.20162
manta (seaworld san diego),"2,835 ft (864 m)",43 mph (69 km/h),seaworld san diego,operating,"may 26, 2012",steel – launched – family,mack rides,48 in (122 cm),boomerang,30 ft (9.1 m),0.0,lsm,$10 million,4 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,planet snoopy,1:56,1400 riders per hour,between 3 and 4 gs,werner stengel,90°,54 ft (16 m),"may 23, 2012",fast lane available,mine train through nature's wonderland,twister,fastrack available,"may 23, 2012","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2012,32.7671,-117.228,steel,2012-05-26,43 mph,69 km/h,43.0,mph,43.0,30.0,ft,91.2,0,3.5,69.20162
de vliegende hollander,"420 m (1,380 ft)",69 km/h (43 mph),efteling,operating,"april 1, 2007",steel,kumbak,120 cm (3 ft 11 in),boomerang,18 m (59 ft),0.0,chain lift,€ 20 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,ruigrijk,3.43 minutes,1900 riders per hour,0.2-2,karel willemen,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,water coaster,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2007,51.648,5.0474,steel,2007-04-01,69 km/h,43 mph,69.0,km/h,42.9,18.0,m,59.1,0,2.0,69.040686
deep space (roller coaster),"1,706 ft (520 m)",42.50 mph (68.40 km/h),adlabs imagica,operating,2013,steel – launched,premier rides,52 in (132 cm) with adult 54 in (137 cm) to ride alone,sky rocket - indoor,57.41 ft (17.50 m),2.0,lsm launch circuit coaster,$10 million,2 trains with 2 cars. riders are arranged 6 across in a single row for a total of 12 riders per train.,asiana,1:56,600 riders per hour,4,werner stengel,90°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2013,18.7647,-73.2805,steel,2013-01-01,42.50 mph,68.40 km/h,42.5,mph,42.5,57.41,ft,91.2,2,4.0,68.39695
jack rabbit (seabreeze),"2,130 ft (650 m)",42 mph (68 km/h),seabreeze amusement park,operating,1920,wood,harry c. baker,48 in (122 cm),boomerang,75 ft (23 m),0.0,chain,$10 million,2 trains with 6 cars. riders are arranged 2 across in 2 rows for a total of 24 riders per train.,planet snoopy,1:30,1200 riders per hour,4,john a. miller,52°,100 ft (30 m),"april 29, 2005",fast lane available,mine train through nature's wonderland,"terrain, out and back",fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,1920,43.2316,-77.5432,wood,1920-01-01,42 mph,68 km/h,42.0,mph,42.0,75.0,ft,91.2,0,4.0,67.59228
thirteen (roller coaster),"2,480 ft (760 m)",42 mph (68 km/h),alton towers,operating,20 march 2010,steel,intamin,47.3–77.2[2] in (120–196 cm),multi dimension coaster,65.6 ft (20.0 m),0.0,drive tire lift hill,"£15,000,000[1]",3 trains with 5 cars. riders are arranged 2 across in 2 rows for a total of 20 riders per train.,dark forest,1:40,"1,400 riders per hour",3.2,werner stengel,90°,60 ft (18 m),"april 29, 2005",fast lane available,corkscrew,twister,fastrack available,"april 29, 2005","september 16, 2007",1895,the joker,official website,flash pass available,must transfer from wheelchair,toy story,single rider line available,over-the-shoulder,flash pass available,0 to 40 mph (0 to 64 km/h) in 3 seconds,single lap bar,das große lego-rennen,2010,52.9847,-1.8904,steel,2010-03-20,42 mph,68 km/h,42.0,mph,42.0,65.6,ft,91.2,0,3.2,67.59228
